id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Hausschild;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
446;Lorenzergasse 1;1;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.1855794;16.3631289;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
445;Lorenzergasse 2;2;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.1854231;16.3633071;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
444;Lorenzergasse 3;3;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.1852355;16.3635251;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
443;Lorenzergasse 4;4;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.1850339;16.3638135;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
442;Lorenzergasse 5;5;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.1848166;16.3640339;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
441;Lorenzergasse 6;6;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.184615;16.3642308;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
512;Lorenzergasse 7;7;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.18445716;16.36437911;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
513;Lorenzergasse 8;8;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.18407285;16.36474408;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
514;Lorenzergasse 9;9;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.18391342;16.36471388;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
440;Lorenzergasse 10;10;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.1846368;16.3639823;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
439;Lorenzergasse 11;11;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.1847885;16.3638299;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
438;Lorenzergasse 12;12;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.1849448;16.3636095;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
437;Lorenzergasse 13;13;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.1851652;16.3634079;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
436;Lorenzergasse 14;14;;;;;Lorenzergasse;Magistrat der Stadt Wien;Lorenzergrund;48.1854278;16.3630679;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
433;Matzleinsdorfer Hauptstraﬂe 15;15;;;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Lorenzergrund;48.185184;16.3626881;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
515;Am Linienwall 16;16;;;;;Am Linienwall;Magistrat der Stadt Wien;Lorenzergrund;48.18365498;16.36423312;Behsel Stadtplan, WStLA, P1: 295/100;Lorenzergrund
